fetch_time,match_id,batting_team,bowling_team,score,overs,crr,rrr,status,state,toss,target,b1_name,b1_runs,b1_balls,b1_4s,b1_6s,b1_sr,b1_dots,b1_mins,b2_name,b2_runs,b2_balls,b2_4s,b2_6s,b2_sr,b2_dots,b2_mins,bw1_name,bw1_overs,bw1_runs,bw1_wkts,bw1_eco,bw1_wides,bw1_nb,bw1_maiden,bw2_name,bw2_overs,bw2_runs,bw2_wkts,bw2_eco,bw2_wides,bw2_nb,bw2_maiden,p_runs,p_balls,recent,last5_runs,last5_wkts,last3_runs,pp_from,pp_to,pp_runs,latest_ball
13 Apr 2026 19:01:13,151752,,,128/2,12.2,10.38,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,79,39,5,6,202.56,10,47,Heinrich Klaasen,29,16,1,2,181.25,2,22,Jofra Archer,2.2,17,1,7.3,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,73,33,4 1,70,0,53,0.1,6,51,"Jofra Archer to Heinrich Klaasen, 1 run, speared in full on middle, Klaasen drvies it down to long-on"
13 Apr 2026 19:01:33,151752,,,128/2,12.2,10.38,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,79,39,5,6,202.56,10,47,Heinrich Klaasen,29,16,1,2,181.25,2,22,Jofra Archer,2.2,17,1,7.3,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,73,33,4 1,70,0,53,0.1,6,51,"Jofra Archer to Heinrich Klaasen, 1 run, speared in full on middle, Klaasen drvies it down to long-on"
13 Apr 2026 19:01:54,151752,,,128/2,12.3,10.24,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,79,40,5,6,197.5,11,47,Heinrich Klaasen,29,16,1,2,181.25,2,25,Jofra Archer,2.3,17,1,6.8,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,73,34,4 1 0,69,0,47,0.1,6,51,"Jofra Archer to Ishan Kishan, no run"
13 Apr 2026 19:02:14,151752,,,132/2,12.4,10.42,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,83,41,6,6,202.44,11,47,Heinrich Klaasen,29,16,1,2,181.25,2,26,Jofra Archer,2.4,21,1,7.9,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,77,35,4 1 0 4,72,0,50,0.1,6,51,"Jofra Archer to Ishan Kishan, to deep backward point"
13 Apr 2026 19:02:35,151752,,,132/2,12.4,10.42,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,83,41,6,6,202.44,11,47,Heinrich Klaasen,29,16,1,2,181.25,2,26,Jofra Archer,2.4,21,1,7.9,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,77,35,4 1 0 4,72,0,50,0.1,6,51,"Jofra Archer to Ishan Kishan, to deep backward point"
13 Apr 2026 19:02:56,151752,,,136/2,12.5,10.60,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,87,42,7,6,207.14,11,47,Heinrich Klaasen,29,16,1,2,181.25,2,26,Jofra Archer,2.5,25,1,8.8,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,81,36,4 1 0 4 4,75,0,48,0.1,6,51,"Jofra Archer to Ishan Kishan, to long-on"
13 Apr 2026 19:03:16,151752,,,136/2,12.5,10.60,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Ishan Kishan,87,42,7,6,207.14,11,47,Heinrich Klaasen,29,16,1,2,181.25,2,26,Jofra Archer,2.5,25,1,8.8,0,0,0,Ravi Bishnoi,3,35,0,11.7,0,0,0,81,36,4 1 0 4 4,75,0,48,0.1,6,51,"Jofra Archer to Ishan Kishan, to long-on"
13 Apr 2026 19:03:37,151752,,,140/2,12.6,10.77,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Heinrich Klaasen,29,16,1,2,181.25,2,27,Ishan Kishan,91,43,8,6,211.63,11,47,Ravi Bishnoi,3,35,0,11.67,0,0,0,Jofra Archer,3,29,1,9.67,0,0,0,85,37,4 1 0 4 4 4,78,0,51,0.1,6,51,"Jofra Archer to Ishan Kishan, to deep mid-wicket"
13 Apr 2026 19:03:57,151752,,,140/2,12.6,10.77,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Heinrich Klaasen,29,16,1,2,181.25,2,27,Ishan Kishan,91,43,8,6,211.63,11,47,Ravi Bishnoi,3,35,0,11.67,0,0,0,Jofra Archer,3,29,1,9.67,0,0,0,85,37,4 1 0 4 4 4,78,0,51,0.1,6,51,"Jofra Archer to Ishan Kishan, to deep mid-wicket"
13 Apr 2026 19:04:18,151752,,,140/2,12.6,10.77,,Rajasthan Royals opt to bowl,In Progress,Rajasthan Royals won toss · chose to bowling,,Heinrich Klaasen,29,16,1,2,181.25,2,27,Ishan Kishan,91,43,8,6,211.63,11,47,Ravi Bishnoi,3,35,0,11.67,0,0,0,Jofra Archer,3,29,1,9.67,0,0,0,85,37,4 1 0 4 4 4,78,0,51,0.1,6,51,"Jofra Archer to Ishan Kishan, to deep mid-wicket"
